"frequency_ghz","channel","absolute_commanded_phase_deg","relative_commanded_from_180_deg","measured_relative_from_180_deg","phase_error_from_180_deg","original_phase_error_from_0_deg","reference_180_measured_magnitude_deg","reference_180_original_error_deg","tone_level_dbfs","amplitude_delta_from_0_db","circular_std_deg","sample_count","source_directory"
"2.4","1","180","0","0","0","-2.6270000000000095","177.373","-2.6270000000000095","-16.776","-0.2749999999999986","0.011","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","202.5","22.5","20.147999999999996","-2.352000000000004","-4.979000000000013","177.373","-2.6270000000000095","-16.777","-0.2759999999999998","0.013","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","225","45","45.259000000000015","0.25900000000001455","-2.367999999999995","177.373","-2.6270000000000095","-16.592","-0.09099999999999753","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","247.5","67.5","65.73700000000002","-1.7629999999999768","-4.389999999999986","177.373","-2.6270000000000095","-16.59","-0.08899999999999864","0.004","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","270","90","91.20600000000002","1.2060000000000173","-1.4209999999999923","177.373","-2.6270000000000095","-16.84","-0.33899999999999864","0","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","292.5","112.5","114.01800000000003","1.518000000000029","-1.1089999999999804","177.373","-2.6270000000000095","-17.064","-0.5629999999999988","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","315","135","135.90699999999998","0.9069999999999823","-1.7200000000000273","177.373","-2.6270000000000095","-17.372","-0.8709999999999987","0.002","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","1","337.5","157.5","156.53199999999998","-0.9680000000000177","-3.5950000000000273","177.373","-2.6270000000000095","-17.288","-0.786999999999999","0.009","2","captures/pluto_phase_full_20260727_ch1_after_swap"
"2.4","2","0","-180","-177.46800000000002","2.5319999999999823","-0.02","177.448","-2.5519999999999925","-17.22","0","0.032","4","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","22.5","-157.5","-157.288","0.21199999999998909","-2.34","177.448","-2.5519999999999925","-17.294","-0.07400000000000162","0.015","2","captures/pluto_phase_full_20260727_ch2_after_swap"
