"frequency_ghz","channel","commanded_phase_deg","measured_phase_magnitude_deg","phase_error_deg","tone_level_dbfs","amplitude_delta_db","circular_std_deg","sample_count","source_directory"
"2.4","2","225","222.286","-2.7139999999999986","-17.33","-0.10999999999999943","0.004","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","247.5","242.971","-4.528999999999996","-17.362","-0.14199999999999946","0.004","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","270","267.727","-2.2730000000000246","-17.629","-0.4090000000000025","0.001","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","292.5","290.53700000000003","-1.9629999999999654","-17.722","-0.5020000000000024","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","315","312.597","-2.40300000000002","-17.984","-0.7640000000000029","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.4","2","337.5","333.877","-3.6229999999999905","-17.904","-0.684000000000001","0.003","2","captures/pluto_phase_full_20260727_ch2_after_swap"
"2.5","1","0","0.035","0.035","-17.941","0","0.071","4","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","22.5","20.673","-1.8270000000000017","-17.915","0.0259999999999998","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","45","46.742","1.7419999999999973","-18.147","-0.20599999999999952","0.016","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","67.5","67.741","0.24099999999999966","-18.129","-0.1880000000000024","0.008","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","90","91.243","1.242999999999995","-18.734","-0.7930000000000028","0.001","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","112.5","110.639","-1.8610000000000042","-18.851","-0.9100000000000001","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","135","131.048","-3.951999999999998","-18.794","-0.8530000000000015","0.002","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","157.5","152.597","-4.902999999999992","-18.288","-0.3470000000000013","0.006","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","180","178.199","-1.8009999999999877","-18.148","-0.20700000000000074","0.009","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
"2.5","1","202.5","198.691","-3.8089999999999975","-18.158","-0.2170000000000023","0.005","2","captures/pluto_phase_frequency_sweep_20260727/f2500_ch1"
